Artigo,Título do Artigo (conforme Lista de origem),a (-1),b (0),c (1),d (2),e (3),Total
1,"Anciaux N., Bonnet P., Bouganim L., Nguyen B., Pucheral P., Sandu Popa I., Scerri G. Personal Data Management Systems: The security and func",,,X,,,1
10,"Casado J., Díaz-Merced W., García B., Schneps M., Kolemberg K., Rychtarikova M., Roozen N. B. Sonification as a Tool for Data Analysis: (202",,,X,,,1
14,"Kaufmann K., Bork-Hüffer T., Gudowsky N., Rauhala M., Rutzinger M. Ethical challenges of researching emergent socio-material-technological p",,,X,,,1
18,"Bavaresco M. V., D'Oca S., Ghisi E., Lamberts R. Technological innovations to assess and include the human dimension in the building-perform",,,,X,,2
19,"Mu R., Zhao X. How do institutional dimensions of open government data affect innovation? Evidence from research institutes in China (2024)",,,X,,,1
20,"Seidelin C., Dittrich Y., Grönvall E. Foregrounding data in co-design – An exploration of how data may become an object of design (2020) Int",,,,X,,2
21,"Malgieri G., Niklas J. Vulnerable data subjects (2020) Computer Law & Security Review.",,,X,,,1
23,Malgieri G. Automated decision-making in the EU Member States: The right to explanation and other “suitable safeguards” in the national legi,,,X,,,1
24,Janeček V. Ownership of personal data in the Internet of Things (2018) Computer Law & Security Review.,,,X,,,1
32,"Chalhoub G., Kraemer M. J., Flechais I. Useful shortcuts: Using design heuristics for consent and permission in smart home devices (2024) In",,,,X,,2
40,"Cezar B. G. S., Maçada A. C. G. Cognitive Overload, Anxiety, Cognitive Fatigue, Avoidance Behavior and Data Literacy in Big Data environment",,,X,,,1
43,"Ferreira M., Nunes N., Ferreira P., Pereira H., Nisi V. Connecting audiences with climate change: Towards humanised and action-focused data",,,,X,,2
45,"Barcellos R., Bernardini F., Viterbo J. Towards defining data interpretability in open data portals: Challenges and research opportunities (",,,,X,,2
48,"Angelopoulos S., Brown M., McAuley D., Merali Y., Mortier R., Price D. Stewardship of personal data on social networking sites (2021) Intern",,,X,,,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Critério 01,,9,,,,,
Critério 02,,5,,,,,
Critério 03,,0,,,,,
