Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
1,"Anciaux N., Bonnet P., Bouganim L., Nguyen B., Pucheral P., Sandu Popa I., Scerri G. Personal Data Management Systems: The security and func",X,X,,,,,X,X,,,,,,,,,,Incluído
2,"Moorthy P., Weinert L., Schüttler C., Svensson L., Sedlmayr B., Müller J., Nagel T. Attributes, Methods, and Frameworks Used to Evaluate Wea",,,,,,,,,,,,,,,,X,,Excluído
3,"Zou N., Liang S., He D. Issues and challenges of user and data interaction in healthcare-related IoT: A systematic review (2020) Library Hi",X,X,,,,X,X,X,,,,,,,,,X,Excluído
4,"Mahboubi A., Luong K., Aboutorab H., Bui H. T., Jarrad G., Bahutair M., Camtepe S., Pogrebna G., Ahmed E., Barry B., Gately H. Evolving tech",,,,,,,,,,X,,X,,,,,,Excluído
5,"Andrews J. A., Rawsthorne M., Manolescu C., McFaul M. B., French B., Rye E., McNaughton R., Baliousis M., Smith S., Biswas S., Baker E., Rep",,,,,,,,,,,,,,,,X,,Excluído
6,"Brissaud D., Sakao T., Riel A., Erkoyuncu J. A. Designing value-driven solutions: The evolution of industrial product-service systems (2022)",,,,,,,,,,X,,X,,,,,,Excluído
7,Thinyane M. Standardizing Social Justice in Digital Health: (2020) International Journal of Standardization Research.,X,X,,X,,,X,X,,,,,,,,,X,Excluído
8,"Koesten L., Vougiouklis P., Simperl E., Groth P. Dataset Reuse: Toward Translating Principles to Practice (2020) Patterns.",,,,,,,X,X,,,,,,,,,X,Excluído
9,"El Beheiry M., Hajj B., Masson J. B., Dahan M. High-Speed Localization Microscopy and Single-Particle Tracking (2023) Encyclopedia of Cell B",,,,,,,,,,,,,,,,X,,Excluído
10,"Casado J., Díaz-Merced W., García B., Schneps M., Kolemberg K., Rychtarikova M., Roozen N. B. Sonification as a Tool for Data Analysis: (202",,X,X,X,,,X,X,,,,,,,,,,Incluído
11,"Vasuki Y., Holden E. J., Kovesi P., Micklethwaite S. Semi-automatic mapping of geological Structures using UAV-based photogrammetric data: A",X,X,,X,X,,X,X,,,,,,,,,X,Excluído
12,"Sewwandi M. A. N. D., Li Y., Zhang J. A class-specific feature selection and classification approach using neighborhood rough set and K-near",,,,,,,,,,X,,X,,,,,,Excluído
13,"Arhonditsis G. B., Neumann A., Ruscica P., Javed A., Daxberger H. Integration of Bayesian Inference Techniques with Mathematical Modeling (2",,,,,,,,,,X,,X,,,,,,Excluído
