Tabela síntese - Scopus,,,,,,,,,,,,
(a) n. do estudo,"Citação (Autor et al., Ano)",Título do Artigo (conforme Lista de origem),QP1 - Como a literatura sobre Interação Humano-Dados (IHD) evoluiu em conceito e prática na última década (2014-2024)?,QP2 - Quais são as principais diferenças entre as abordagens teóricas e as implementações práticas relatadas na literatura nos últimos dez anos (2014-2024)?,QP3 - Quais lacunas na pesquisa atual são recorrentemente citadas nos estudos?,"QP4 - Antes da abordagem de IHD, havia alguma abordagem para facilitar o entendimento sobre a gestão de dados em aplicações?",QP5 - Qual é a importância de aplicação da IHD no contexto de Smart City?,,"QPS1 - Quais métodos de avaliação (ex: testes de usabilidade, eye-tracking) são usados para medir a eficácia da IHD?",QPS2 - Quais elementos de sistemas IHD ajudam usuários inexperientes digitalmente a entender melhor os dados?,QPS3 - Os estudos de caso testaram algum framework utilizando IHD?,QPS4 - De que forma fatores etnicos-culturais podem influenciar na forma de aplicação da IHD?
1,"Anciaux et al., 2019","Anciaux N., Bonnet P., Bouganim L., Nguyen B., Pucheral P., Sandu Popa I., Scerri G. Personal Data Management Systems: The security and func","A IHD evoluiu ao transitar do foco na viabilidade técnica para a compreensão de complexidades sociotécnicas reais. Conceitualmente, expande os pilares de legibilidade, agência e negociabilidade para contextos de decisão crítica, revelando que a interação é mediada pela confiança na fonte e pela subjetividade dos dados gerados por pacientes.","Teoricamente, a legibilidade é definida pela clareza do fluxo de dados; na prática, a legibilidade é indissociável da confiança na fonte. A agência e a negociabilidade são frequentemente castradas por protocolos profissionais e pela subjetividade dos dados, nuances que os modelos teóricos simplificam em demasia.",Identifica a carência de estudos sobre o engajamento humano real em contextos sociotécnicos complexos. As lacunas incluem: a ausência de diretrizes sobre como a confiança e a proveniência dos dados afetam a interação; e a necessidade de conciliar a Autonomia do Usuário profissional com a subjetividade dos dados em protocolos rígidos (ex: saúde).,"As abordagens anteriores concentravam-se em tecnologias de Tomada de Decisão Apoiada por Dados (DSDM), focando quase exclusivamente na viabilidade técnica e na eficácia quantitativa (performance/precisão), negligenciando como o ser humano interage e interpreta esses sistemas em contextos sociotécnicos reais.",NÃO RESPONDE,,"Utiliza avaliações baseadas em cenários (scenario-based evaluations) através de ferramentas interativas, complementadas por entrevistas semiestruturadas. Emprega workshops de co-design para validar requisitos, priorizando a compreensão de nuances sociotécnicas sobre métricas quantitativas de usabilidade.","Identifica que a legibilidade e a transparência sobre a origem (proveniência) dos dados são vitais para a confiança. O uso de cenários interativos e painéis (dashboards) ajuda o usuário a contextualizar informações complexas, transformando dados brutos em conhecimento prático para a tomada de decisão.","Testa o framework de IHD de Mortier et al. (2014), operacionalizado através dos pilares de legibilidade, agência e negociabilidade em um contexto clínico, validando como tais definições teóricas operam frente aos desafios sociotécnicos reais de pacientes com DPOC.",NÃO RESPONDE
10,"Casado et al., 2022","Casado J., Díaz-Merced W., García B., Schneps M., Kolemberg K., Rychtarikova M., Roozen N. B. Sonification as a Tool for Data Analysis: (202","Marca a evolução da área ao propor um framework de atividades práticas: inspeção (visão geral), engajamento (análise profunda) e colocação em contexto (relação com normas disciplinares). Demonstra que o sensemaking (construção de sentido) sobre dados ainda é um campo em maturação, distinto da interpretação textual tradicional.","Enquanto modelos teóricos de busca de informação operam de forma estática, a prática de IHD é dinâmica e dependente do conhecimento prévio e motivação do usuário. Além disso, o conhecimento tácito necessário para compreender os dados raramente está documentado nos metadados formais, criando um abismo entre a teoria da documentação ideal e o uso real.","Aponta a falta de foco nos comportamentos de construção de sentido (sensemaking) orientados a dados, a ausência de uma taxonomia de trabalho centrada em dados e a dificuldade de traduzir comportamentos de usuários em diretrizes práticas de design.","Predominavam modelos de busca de informação e técnicas de Análise Exploratória de Dados (EDA) focadas em fontes textuais, sem diferenciar as necessidades específicas de quem lida com a complexidade de conjuntos de dados estruturados ou massivos.",NÃO RESPONDE,,"Emprega abordagem de métodos mistos: entrevistas em profundidade, o protocolo de pensar em voz alta (think-aloud) e análise de gravação de tela. Menciona o rastreamento ocular (eye-tracking) como método complementar documentado na literatura para mensurar o engajamento.","Propõe design de interface que permita a exploração multinível (zoom in/out), a inclusão de links explicativos para conceitos básicos e a sinalização de ""anomalias"" (erros ou lacunas) como pontos de entrada educativos, em vez de apenas apresentar dados ""limpos"".","Valida um framework próprio de sensemaking (construção de sentido), estruturado nos clusters de atividades: ""Inspecionar"", ""Engajar com Conteúdo"" e ""Colocar em Contexto"", testando sua eficácia na compreensão e reutilização de dados por pesquisadores.","Reconhece que normas sociais e contextos legais e econômicos únicos de cada país influenciam a construção de sentido (sensemaking) sobre os dados, embora a execução técnica de análise tenda a se padronizar globalmente entre pesquisadores."
14,"Kaufmann et al., 2021","Kaufmann K., Bork-Hüffer T., Gudowsky N., Rauhala M., Rutzinger M. Ethical challenges of researching emergent socio-material-technological p","Documenta a evolução metodológica ao integrar tecnologias móveis (ex: eye-tracking móvel) para capturar interações em tempo real. A prática de IHD evoluiu para integrar percepção visual e movimento do usuário em espaços públicos, exigindo uma reavaliação urgente dos protocolos éticos e de Autonomia do Usuário.","O hiato reside nos desafios éticos imprevistos. Enquanto a teoria ética da pesquisa é genérica, a prática com eye-tracking revela dificuldades operacionais intransponíveis, como a impossibilidade de obter consentimento de terceiros capturados acidentalmente em ambientes urbanos dinâmicos.",Identifica a escassez de orientações éticas específicas para tecnologias de rastreamento móvel e a falta de debate sobre as implicações sociais da transformação de práticas humanas cotidianas em dados rastreáveis.,NÃO RESPONDE,"Crucial para o desenvolvimento de Smart Cities, pois investiga como infraestruturas digitais de realidade aumentada moldam a experiência e a apropriação dos espaços físicos pelos cidadãos, tornando a percepção do ambiente urbano mais legível e participativa.",,"Utiliza o rastreamento ocular móvel (mobile eye-tracking) para capturar a percepção visual em tempo real, acompanhado de entrevistas retrospectivas baseadas nas gravações do olhar e questionários de percepção.",NÃO RESPONDE,Testa um framework metodológico interdisciplinar para analisar a percepção e o impacto sociomaterial de tecnologias emergentes (realidade aumentada móvel) em cenários de uso urbano real.,"O estudo foca na necessidade de garantir representatividade na amostra, mas não aprofunda como fatores étnico-culturais específicos moldam a interação."
18,"Bavaresco et al., 2019","Bavaresco M. V., D'Oca S., Ghisi E., Lamberts R. Technological innovations to assess and include the human dimension in the building-perform","Detalha a evolução da gestão de desempenho em edifícios, saindo de uma análise técnica passiva para a integração da dimensão humana via IoT e sensores. O ocupante passa de ""utilizador"" para um componente ativo no ciclo de vida do edifício.","Aponta o ""hiato de desempenho"": as previsões teóricas de consumo energético via automação falham na prática devido à imprevisibilidade do comportamento humano, que é movido por fatores subjetivos de conforto e não por cálculos de otimização sistêmica.","Aponta a necessidade de métodos de monitoramento não intrusivos, a falha na integração de dados comportamentais em tempo real nos sistemas de gestão urbana e a dificuldade de quantificar subjetividades (conforto térmico/visual) em modelos preditivos.","Predominava a Avaliação Pós-Ocupação (POE) tradicional, baseada em inquéritos estáticos e na memória subjetiva dos ocupantes, sem o suporte crítico de dados de interação contínuos e automatizados.","Essencial para a gestão energética urbana. A IHD permite que edifícios inteligentes respondam dinamicamente aos comportamentos reais dos ocupantes, promovendo eficiência e sustentabilidade em larga escala municipal.",,"Emprega um ecossistema de sensores comportamentais (ativos e passivos), tecnologia Kinect para rastreio de movimento, ambientes de Realidade Virtual (VR) e Aumentada (AR) para simulação e Sistemas Ciber-Físicos (CPS) para monitoramento de desempenho.","Sugere que elementos de gamificação, feedback visual imediato sobre consumo de energia e o uso de ""personas"" em sistemas de automação ajudam usuários leigos a compreender as consequências das suas ações, incentivando a eficiência.","Analisa múltiplos estudos de caso que validam frameworks de Sistemas Ciber-Físicos (CPS) e Internet das Coisas (IoT), integrando o comportamento humano ao desempenho energético de edifícios inteligentes.","Indica que normas culturais sobre o uso do ambiente construído moldam a interação com os sistemas de controle, embora não aprofunde distinções específicas entre diferentes grupos étnicos."
19,"Mu & Zhao, 2024","Mu R., Zhao X. How do institutional dimensions of open government data affect innovation? Evidence from research institutes in China (2024)","Evidencia a evolução da IHD no contexto dos Dados Abertos Governamentais (ODG), movendo o foco da simples disponibilização técnica para a institucionalização do uso. A prática agora depende de regras instrucionais e estruturais que moldam como investigadores e cidadãos extraem valor real dos dados.","A teoria da abertura total de dados sugere que a disponibilidade técnica promove inovação. A prática revela que esse efeito é mediado pela ""capacidade de dados"" (letramento) do usuário, e que restrições de acesso, paradoxalmente, podem elevar o rigor e a qualidade da inovação.",Identifica a falta de investigação sobre o nível individual dos utilizadores de dados (focando-se apenas no institucional) e a escassez de análises sobre os efeitos combinados de diferentes dimensões institucionais na inovação prática.,NÃO RESPONDE,NÃO RESPONDE,,"Aplica métodos estatísticos avançados, como a Modelagem de Equações Estruturais por Mínimos Quadrados Parciais (PLS-SEM) e Regressão Polinomial com Análise de Superfície de Resposta, validados via survey com 1.092 participantes.",NÃO RESPONDE,"Testa um modelo teórico que integra a Teoria Institucional com o TAM, validando um framework próprio baseado em três dimensões institucionais (instrucionais, estruturais e de acesso) para medir a inovação via Dados Abertos Governamentais (ODG).","Destaca o contexto sociopolítico específico da China, argumentando que a aplicação de modelos de governança e Dados Abertos Governamentais (ODG) é fortemente moldada pelo ambiente nacional e pelas práticas culturais locais de gestão administrativa."
20,"Seidelin et al., 2020","Seidelin C., Dittrich Y., Grönvall E. Foregrounding data in co-design – An exploration of how data may become an object of design (2020) Int","Propõe uma mudança de paradigma: o dado deixa de ser um ""input"" para o design e torna-se um ""objeto de design"". A evolução na última década exige que o sistema empodere especialistas de domínio (não técnicos) a participarem ativamente na estruturação e discussão da informação, e não apenas na interface.","Teoricamente, o Big Data é uma fronteira em ascensão; na prática do co-design, os dados digitais raramente são tratados como elementos tangíveis, sendo relegados a componentes abstratos. A prática exige colocar o dado no centro das discussões entre profissionais de TI e especialistas de domínio.","Cita a exclusão recorrente de especialistas de domínio no design de serviços, devido à carência de métodos que traduzam estruturas complexas de dados para profissionais não técnicos.","As abordagens de design participativo e co-criação tratavam o design de TI apenas através de dimensões físicas, funcionais ou estéticas, tratando os dados digitais como entes abstratos e raramente como elementos centrais de co-criação.","Vital para garantir que a inovação em serviços municipais baseados em dados atenda às necessidades reais da administração pública e dos cidadãos, evitando o descolamento entre a política urbana e o uso efetivo da informação.",,"Utiliza workshops de co-design e pesquisa-ação (action research), utilizando protótipos como ""objetos de fronteira"" (boundary objects) para mediar a comunicação entre perfis técnicos e especialistas de domínio.",Defende que tornar o dado um objeto explícito e tangível no design (através de visualizações ou representações físicas) ajuda especialistas de domínio sem formação em TI a compreender a importância das estruturas de dados para o serviço final.,"Testa uma abordagem metodológica de co-design que coloca os dados em primeiro plano (foregrounding data), utilizada para estruturar a comunicação entre gestores municipais e especialistas de domínio em serviços de gestão de frotas.",NÃO RESPONDE
21,"Malgieri & Niklas, 2020","Malgieri G., Niklas J. Vulnerable data subjects (2020) Computer Law & Security Review.","Evoluiu da visão universalista do ""usuário médio"" para o reconhecimento de ""sujeitos vulneráveis"" no contexto da proteção de dados. A teoria agora reconhece que legibilidade e agência não são exercidas de forma igual por todos, exigindo proteções específicas para quem possui limitações de compreensão.","Identifica a falha do ""consentimento informado"". Enquanto a teoria assume um usuário autônomo e capaz de gerir dados, a prática revela que a assimetria de poder e a complexidade algorítmica tornam a transparência apenas uma formalidade burocrática, não uma funcionalidade real.","Identifica a ausência de definições técnicas sobre o que constitui ""vulnerabilidade"" no processamento de dados e a falta de critérios para avaliar riscos em grupos sociais situacionais, além de crianças ou idosos.","Baseava-se no modelo burocrático de ""Aviso e Escolha"" (Notice and Choice), que pressupunha, erroneamente, que fornecer termos de uso extensos seria condição suficiente para garantir que o usuário compreendesse e gerisse seus próprios dados.",NÃO RESPONDE,,NÃO RESPONDE,"Propõe elementos de ""proteção por design"" e ""agência assistida"", onde o sistema atua preventivamente para evitar abusos, sendo crucial para que usuários vulneráveis não sejam prejudicados pela opacidade do sistema.","Propõe e testa um framework conceitual para definir ""vulnerabilidade"" sob três dimensões: pessoal, situacional e relacional, utilizando-o para auditar a adequação das proteções do RGPD a diferentes perfis de usuários.",Destaca que fatores étnico-culturais podem elevar o risco de discriminação algorítmica. Argumenta que a IHD deve considerar essas características para evitar que o processamento automatizado reforce preconceitos históricos ou exclua minorias da Autonomia do Usuário.
23,"Malgieri, 2019",Malgieri G. Automated decision-making in the EU Member States: The right to explanation and other “suitable safeguards” in the national legi,"Analisa a evolução do quadro jurídico europeu, marcando a transição da Diretiva 95/46/CE para o RGPD. Demonstra que o conceito de legibilidade evoluiu para o direito à explicação em decisões automatizadas, exigindo que a lógica algorítmica seja compreensível ao titular.","Aponta o hiato entre as normas robustas do RGPD e a sua implementação restritiva pelos Estados-Membros da UE. A teoria prevê salvaguardas e intervenção humana, enquanto a prática política dos países adota exceções amplas que limitam o exercício real dos direitos.","Aponta a falta de clareza jurídica sobre o que constitui ""informação significativa"" na lógica das decisões automatizadas e a incerteza quanto à natureza do ""direito à explicação"" (se é uma obrigação do Estado ou direito individual).","A gestão era norteada pela Diretiva 95/46/CE, que precedeu a implementação do framework jurídico mais rigoroso e voltado à transparência do RGPD.",NÃO RESPONDE,,NÃO RESPONDE,"Aborda a transparência como direito fundamental à informação inteligível, embora não detalhe elementos específicos de interface voltados à inexperiência digital.","Testa a eficácia do framework regulatório do Artigo 22 do RGPD em múltiplas jurisdições, avaliando como o modelo governa as decisões automatizadas de forma prática e legal.","Discute como a falta de transparência em decisões automatizadas pode gerar resultados discriminatórios, afetando desproporcionalmente indivíduos com base em características étnicas capturadas por sistemas de perfilamento (profiling)."
24,"Janecek, 2018",Janeček V. Ownership of personal data in the Internet of Things (2018) Computer Law & Security Review.,"Demonstra a transição de um modelo jurídico focado na ""propriedade"" (posse) para um modelo focado no ""acesso"" e na ""responsabilidade"" (accountability), essencial para a prática da IHD em ambientes onde o processamento de dados por dispositivos IoT é onipresente.","Enquanto a teoria jurídica foca na ""propriedade"" do dado como solução para o controle, a prática revela que os dados são bens não rivais de difícil apropriação individual. Na IoT, o controle é exercido pelos provedores de tecnologia, mantendo o usuário em uma realidade de dependência tecnológica.",Identifica a insuficiência das leis de proteção atuais para lidar com a natureza econômica dos dados na IoT e a necessidade de criar mecanismos de Autonomia do Usuário que transcendam o consentimento formal vazio.,"A gestão era sustentada pelo Direito de Propriedade tradicional e pela Propriedade Intelectual, tentando tratar o dado como um objeto físico ou criação autoral, o que se revelou inadequado para lidar com fluxos digitais onipresentes.",NÃO RESPONDE,,NÃO RESPONDE,"Enfatiza a garantia de controle efetivo e agência jurídica, sem detalhar artefatos de interface específicos para a compreensão do usuário leigo.",NÃO RESPONDE,NÃO RESPONDE
32,"Chalhoub et al., 2024","Chalhoub G., Kraemer M. J., Flechais I. Useful shortcuts: Using design heuristics for consent and permission in smart home devices (2024) In","Documenta a evolução do consentimento digital, migrando de avisos burocráticos e estáticos para modelos interativos integrados. A prática evoluiu para tornar o controle de dados uma parte contínua e utilizável da experiência do usuário, em vez de uma tarefa burocrática isolada.","Identifica o ""paradoxo da transparência"" e a ""fadiga do consentimento"". Enquanto a teoria de IHD sugere agência total, a prática revela que controlar cada fluxo individual é cognitivamente exaustivo e ineficaz, exigindo a adoção de heurísticas de design como atalhos para a usabilidade real.","Aponta a falta de diretrizes de design acionáveis para desenvolvedores e a escassez de ferramentas de consentimento que sejam, simultaneamente, compatíveis com a lei (RGPD) e usáveis em dispositivos de casa inteligente sem tela.","Baseava-se no modelo de ""Aviso e Escolha"" (Notice and Choice) e em políticas de privacidade padrão, métodos que tratavam a gestão de dados como uma tarefa burocrática isolada e não como uma parte contínua da experiência do usuário.",NÃO RESPONDE,,"Utiliza workshops de co-design, inspeções heurísticas (walkthroughs cognitivos) com especialistas e um estudo quantitativo com 255 participantes para validação de diretrizes.","Identifica a visibilidade clara do status do sistema, o uso de linguagem simples (sem jargões), iconografia intuitiva e a categorização de dados por finalidade e sensibilidade como elementos fundamentais para evitar a sobrecarga cognitiva.","Desenvolve e testa um framework composto por 10 heurísticas de design derivadas dos pilares de legibilidade, agência e Autonomia do Usuário, validado através de processos iterativos entre especialistas e usuários finais.","Reconhece que as percepções de privacidade e a eficácia das heurísticas podem variar conforme o contexto social, mas não aprofunda a influência de variáveis étnicas específicas."
