,Título do Artigo (conforme Lista de origem),a (-1),b (0),c (1),d (2),e (3),Total
74,"Elhamdadi H., Gaba A., Kim Y.-S., Xiong C. How Do We Measure Trust in Visual Data Communication?. (2022) Proceedings - 2022 IEEE 9th Worksho",,,,X,,2
76,"Bartram L., Correll M., Tory M. Untidy Data: The Unreasonable Effectiveness of Tables. (2022) IEEE Transactions on Visualization and Compute",,,,X,,2
78,"Xia G., Yu L., Gong Z., Zhang Y., Zhang S., Zhu Z., Li H., Tang Y., Huang Y., Tian Z. Designing with biodiversity data: connections among de",,,,X,,2
81,"Briggs A., Cafaro F. End-user needs of fragmented databases in higher education data analysis and decision making. (2021) Informatics, 8 (3)",,,,,X,3
82,"Turkay C., Von Landesberger T., Archambault D., Liu S., Chang R. Special Issue on Interactive Visual Analytics for Making Explainable and Ac",,,,,X,3
83,"Alhakamy A., Trajkova M., Cafaro F. Show Me How You Interact, I Will Tell You What You Think: Exploring the Effect of the Interaction Style",,,,,X,3
84,"Sailaja N., Jones R., McAuley D. Human data interaction in data-driven media experiences : AAn exploration of data sensitive responses to th",,,,,X,3
86,"Sailaja N., Lindley J., Urquhart L., McAuley D., Forrester I. Human-Data Interaction through Design: An explorative step from theory to prac",,,,X,,2
87,"Sailaja N., Jones R., McAuley D. Designing for Human Data Interaction in Data-Driven Media Experiences. (2021) Conference on Human Factors i",,,,X,,2
88,Xiao F. Toward a Conceptual Model for Users' Online Open Government Data Interaction. (2021) CHIIR 2021 - Proceedings of the 2021 Conference,,,X,,,1
89,"Koesten L., Gregory K., Groth P., Simperl E. Talking datasets – Understanding data sensemaking behaviours. (2021) International Journal of H",,,,,X,3
90,"Calvetti D., Mêda P., Sousa H., Gonçalves M.C. Human Data Interaction in Sensored Sites, Challenges of the Craft Workforce Dimension (2021)",,,,,X,3
91,"Chatzimichali A., Harrison R., Chrysostomou D. Toward privacy-sensitive human–robot interaction: Privacy terms and human–data interaction in",,,,,X,3
92,"Xie A., Ho J.C.F., Wang S.J. Data City: Leveraging Data Embodiment Towards Building the Sense of Data Ownership. (2021) Lecture Notes of the",,,,,X,3
93,"Lockwood M. Exploring Value Propositions to Drive Self-Sovereign Identity Adoption. (2021) Frontiers in Blockchain, 4, art. no. 611945.",,,,,X,3
94,"Crabtree A., Haddadi H., Mortier R. Privacy by Design for the Internet of Things: Building accountability and security (2021) Institution of",,,,X,,2
97,"Koesten L., Vougiouklis P., Simperl E., Groth P. Dataset Reuse: Toward Translating Principles to Practice (2020) Patterns, 1 (8), art. no. 1",,,X,,,1
98,"Zou N., Liang S., He D. Issues and challenges of user and data interaction in healthcare-related IoT: A systematic review. (2020) Library Hi",,,,X,,2
99,"Victorelli E.Z., Reis J.C.D. Human-data interaction design guidelines for visualization systems. (2020) IHC 2020 - Proceedings of the 19th B",,,X,,,1
103,"Locoro A., Cabitza F., Ravarini A., Buono P. IGV short scale to assess implicit value of visualizations through explicit interaction. (2020)",,,X,,,1
104,Lee-Smith M. The data hungry home: Humans harvesting data for living devices. (2020) DIS 2020 Companion - Companion Publication of the 2020,,,X,,,1
105,"Alhakamy A., Cafaro F., Trajkova M., Kankara S., Mallappa R., Veda S. Design strategies and optimizations for human-data interaction systems",,,X,,,1
