Tabela síntese - Scopus,,,,,,,,,,,,
(a) n. do estudo,"Citação (Autor et al., Ano)",Título do Artigo (conforme Lista de origem),QP1 - Como a literatura sobre Interação Humano-Dados (IHD) evoluiu em conceito e prática na última década (2014-2024)?,QP2 - Quais são as principais diferenças entre as abordagens teóricas e as implementações práticas relatadas na literatura nos últimos dez anos (2014-2024)?,QP3 - Quais lacunas na pesquisa atual são recorrentemente citadas nos estudos?,"QP4 - Antes da abordagem de IHD, havia alguma abordagem para facilitar o entendimento sobre a gestão de dados em aplicações?",QP5 - Qual é a importância de aplicação da IHD no contexto de Smart City?,,"QPS1 - Quais métodos de avaliação (ex: testes de usabilidade, eye-tracking) são usados para medir a eficácia da IHD?",QPS2 - Quais elementos de sistemas IHD ajudam usuários inexperientes digitalmente a entender melhor os dados?,QPS3 - Os estudos de caso testaram algum framework utilizando IHD?,QPS4 - De que forma fatores etnicos-culturais podem influenciar na forma de aplicação da IHD?
1,"Coleti et al., 2024","Coleti T.A., Zacarias R.O., Divino S.B.S., Saraiva J.D.A.G., Salgado A.D.L., Gonçalves D.A., Morandini M., Santos R.P.D. GranDIHC-BR 2025-20","Transita da manipulação puramente técnica de dados para um campo interdisciplinar focado no impacto humano. Na prática, abandona o uso comercial exploratório em favor de métodos pautados em leis de privacidade que priorizam a Literacia de Dados.","Enquanto a teoria foca em modelos robustos de transparência (como o TR-Model) para garantir ética e interdisciplinaridade, as implementações práticas recentes (focadas na LGPD/GDPR) priorizam a estética e a fluidez da interface (UX) em detrimento da verdadeira Literacia de Dados e da compreensão real do usuário.","Escassez de métricas padronizadas para medir a transparência e lacuna na criação de interfaces de UX focadas em grupos vulneráveis (crianças e idosos), dificultando a integração prática entre privacidade e Literacia de Dados.",O campo era dominado pela Interação Humano-Computador (IHC) tradicional e por modelos restritos de Privacidade Usável. A perspetiva de cibersegurança encarava o utilizador mais como uma 'ameaça' à infraestrutura de TI do que como um titular de direitos sobre a governança da informação.,"Importante para a gestão ubíqua de recursos inteligentes (IoT) e mobilidade urbana, garantindo que o cidadão confie na tecnologia, compreenda a coleta invisível do ambiente e evite a exclusão através da promoção de Literacia de Dados.",,"Métricas de Usabilidade e Acessibilidade: Avaliação sistemática de interfaces e sistemas para medir a facilidade de uso e a inclusão. Feedback de Usuários e Especialistas: Coleta de opiniões e percepções sobre a eficácia, transparência. Análise de Estudos de Caso: Relatos detalhados sobre impactos positivos. Auditorias Independentes e Revisões de Comitês usando frameworks como COBIT e OWASP. Indicadores de Adoção e Segurança: Monitoramento da taxa de adesão.","Implementa visualizações interativas simplificadas, explicabilidade algorítmica para IA, campos de auxílio integrados e mecanismos perceptíveis de transparência (como o TR-Model) para promover o Letramento em Dados e a acessibilidade de conteúdo para leigos.",TR-Model: É citado como um exemplo de modelo conceitual. Frameworks de Auditoria: O texto propõe o uso dos frameworks COBIT e OWASP para realizar auditorias. Ambiente SANDBOX: Sugere-se o uso do ambiente de testes da ANPD.,Representatividade em Dados: A diversidade cultural na coleta e no treinamento de dados é essencial para evitar vieses algorítmicos. O desenvolvimento de métodos deve considerar as nuances sociais e culturais. A aplicação exige uma compreensão profunda do contexto cultural do dado.
2,"Pereira et al., 2024","Pereira R., Darin T., Silveira M.S. GranDIHC-BR: Grand Research Challenges in Human-Computer Interaction in Brazil for 2025-2035 [GranDIHC-B","Evolui de um paradigma de Dados Abertos Governamentais (ODG) focado na mera publicação legal para uma abordagem centrada no cidadão, visando a criação de valor cívico e usabilidade real.","Há uma profunda desconexão entre a teoria de transparência pública e a realidade empírica. Enquanto políticas estimulam a rápida proliferação de portais de Dados Abertos Governamentais (ODG), na prática, os usuários enfrentam barreiras críticas de usabilidade e compreensão para encontrar e utilizar esses dados de forma cívica e produtiva.","Cita a IHD como emergente na gestão de Dados Abertos Governamentais (ODG), destacando a falta de suporte analítico para entender como diferentes tarefas de busca afetam o comportamento e a compreensão do cidadão no acesso a bases públicas.","Predominavam abordagens políticas de 'transparência passiva', focadas apenas em publicar bases de Dados Abertos Governamentais (ODG) para cumprir legislações, sem preocupação técnica em facilitar a interação ativa ou o uso cívico por não especialistas.","Essencial para consolidar a governança participativa em bairros e comunidades, transformando os Dados Abertos Governamentais (ODG) de repositórios passivos numa ferramenta cívica prática e acionável na vida diária.",,"Abordagem metodológica mista, combinando uma revisão sistemática da literatura com um estudo qualitativo de análise comportamental para identificar as dimensões críticas da interação.","Sugere a oferta de metadados descritivos enriquecidos e ferramentas de visualização nativas que apoiem a construção de sentido (sense-making), convertendo Dados Abertos Governamentais (ODG) em recursos visuais úteis para a tomada de decisão leiga.","A principal contribuição teórica é a proposição do modelo HOGDI (Human Open Government Data Interaction), que estrutura a interação.","O modelo considera como a IHD facilita a compreensão em contextos sociais e geográficos específicos. Destaca-se a importância da escala dos dados locais ou regionais, argumentando que a relevância e o comportamento do cidadão são influenciados pela proximidade geográfica e impacto social direto."
5,"de Kreij et al., 2024","De Kreij S., Ranasinghe C., Degbelo A. Data Physicalization and Tangible Manipulation for Engaging Children with Data: An Example with Air Q","Expande o conceito ao integrar a Fisicalização de Dados. Na prática, substitui ecrãs tradicionais por hardware de código aberto (tangível), promovendo a Literacia de Dados desde a infância de forma lúdica.","Enquanto a teoria discute a transparência e a Agência do Usuário em sistemas de informação puramente digitais e abstratos, a prática demonstra que a Fisicalização de Dados (manipulação tangível via hardware como Arduino) é o caminho mais eficaz para preencher a lacuna cognitiva e facilitar a Literacia de Dados em crianças.","Carência de estudos longitudinais e metáforas de interação em Fisicalização de Dados, além da falta de pesquisas sobre como a manipulação de hardware tangível afeta a cognição, a memória e o engajamento infantil a longo prazo.","O padrão era o controlo indireto via ecrãs (rato e teclado) focado na literacia visual bidimensional. A manipulação física existia apenas no campo educacional da Interação Baseada na Realidade, antes de ser adaptada para a Fisicalização de Dados digitais.","Fundamental para promover a conscientização ambiental urbana (como a gestão da poluição do ar), utilizando a Fisicalização de Dados para transformar a população infantil de observadora passiva a exploradora ativa da cidade.",,Experimento Controlado (N=36) com adolescentes. Tarefas de Resposta a Perguntas (Question-answering tasks). Medição de Tempo (Cronômetro Digital). Questionários e Feedback Qualitativo. Análise de Sentimento (TweetNLP) nas respostas verbais. Testes de Recordação (Recall tasks) para avaliar a memorabilidade.,Adota a Fisicalização de Dados e a manipulação tangível aliadas a metáforas do cotidiano (como encher recipientes) e sensações hápticas (peso/tato) para contornar telas limitantes e facilitar o Letramento em Dados de forma intuitiva.,O estudo utiliza os temas do framework de Interação Baseada na Realidade. Cognição Corporificada (Embodied Cognition): Aplica teorias de cognição corporificada. Valida a eficácia de novos métodos de interação baseados em manipulação tangível em comparação a um método de linha de base (slider).,"Congruência de Metáforas: Destaca que as metáforas de interação devem ser congruentes com nossa base experiencial (o que sugere que o background cultural molda como os usuários entendem ações sobre dados). O estudo foi conduzido num contexto escolar na Holanda, reforçando que a IHD deve ser adaptada à linguagem e cultura locais."
7,"Sailaja et al., 2024","Sailaja N., Crabtree A., Lodge T., Chamberlain A., Coulton P., Pilling M., Forrester I. Making of an Adaptive Podcast that Engenders Trust t","Introduz a negociabilidade como pilar dinâmico, superando o consentimento estático. Na prática, adota interfaces de voz conversacionais para gerir a confiança e garantir a Agência do Usuário em tempo real.","A teoria fundamenta-se no controle técnico rigoroso dos dados pessoais para gerar confiança. Na prática, o estudo demonstra que é a ""vulnerabilidade do sistema"" — o ato de usar interfaces de voz (VUI) para negociar permissões em tempo real e aceitar um ""não"" — que efetivamente consolida a confiança e a Agência do Usuário.",Aponta a falta de ferramentas de negociabilidade em tempo real e a ausência de estudos sobre como as características sintéticas de interfaces de voz (VUI) influenciam a construção da confiança e a Agência do Usuário de forma sustentada.,"A abordagem predominante era o modelo legalista de 'Aviso e Consentimento'. Tratava-se de uma comunicação estática, unilateral e de opções 'tudo ou nada', sem a possibilidade de personalização da privacidade ou negociação contínua.","Crucial para combater o sentimento de impotência informacional do habitante urbano, tornando a captação de dados de infraestrutura (clima, localização) num processo negociável por voz que humaniza os serviços e assegura a Agência do Usuário.",,Estudo Qualitativo com Usuários. Interação com Protótipo Funcional de podcast adaptativo. Interface de Voz (VUI) simulando diálogo de negociação. Relatos de Percepção Subjetiva de confiança. Avaliação de Vulnerabilidade do Sistema (aceitar uma resposta negativa).,"Utiliza interfaces de voz (VUI) e mediadores sintéticos para conduzir diálogos em tempo real, onde a ""vulnerabilidade do sistema"" (pedir permissão explícita e aceitar um não) substitui jargões legais, garantindo a compreensão conversacional do dado.",Framework de Negociabilidade de Dados: O estudo propõe e utiliza a Negociabilidade de Dados como o framework central para estruturar a Autonomia do Usuário. Integração de Pilares de IHD. Design Centrado no Humano (HCD).,"Contexto Cultural Brasileiro: A pesquisa foi conduzida em um ambiente acadêmico brasileiro, utilizando a língua portuguesa e conteúdos adaptados à realidade local para assegurar que a interface conversacional fosse culturalmente sintonizada. A negociação por voz ajuda a reduzir barreiras de desconfiança em diferentes extratos sociais."
9,"Friedman & Cafaro, 2024","Friedman A., Cafaro F. Designing Gestures for Data Exploration with Public Displays via Identification Studies (2024) Information (Switzerla","Define a IHD através da interação corporificada (Embodied Interaction). Metodologicamente, transita de estudos lentos de laboratório para abordagens participativas in situ focadas na criação de vocabulários gestuais públicos.","Teoricamente, os estudos de elicitação em laboratório são o padrão-ouro metodológico. Contudo, na prática urbana, há disparidades corporais severas: usuários descobrem facilmente gestos de braços em ecrãs públicos, mas falham na interação com outras partes do corpo, evidenciando uma lacuna entre o design idealizado e a Facilidade de descoberta intuitiva real.","Identifica a ausência de um vocabulário gestual padronizado para interações corporificadas e o desafio da ""cegueira de acessibilidade"" em espaços públicos, onde os usuários ignoram as affordances (possibilidades) interativas dos ecrãs urbanos.","As interações limitavam-se a dispositivos periféricos de entrada tradicionais (teclados e ecrãs de toque). Testes de interação corporal (estudos de elicitação) eram usados apenas para validar gestos idealizados em laboratório, e não como co-design em ambientes urbanos.","Necessária para viabilizar a exploração cívica e casual em ecrãs e painéis públicos (praças e espaços culturais), transformando métricas complexas da cidade numa interação corporal fluida e intuitiva para os transeuntes.",,Abordagem de três estágios: 1. Observação in situ de 133 participantes; 2. Estudo de identificação online com 104 respostas; e 3. Avaliação de descobribilidade in situ com 118 usuários usando a técnica de Wizard-of-Oz.,Incorpora representações visuais reflexivas (como avatares e silhuetas na tela) e gestos de entrada universais (como acenar ou imitar poses) para aumentar a facilidade de descoberta interativa e reduzir a cegueira de exibição em espaços públicos.,"Fundamenta-se no framework de Interação Corporificada (Embodied Interaction) de Dourish e Hornecker, que enfatiza o acoplamento entre movimento físico e percepção.","O estudo destaca o ""viés de legado"" (legacy bias), onde usuários de uma mesma região (EUA) tendem a sugerir gestos que já conhecem de outras tecnologias locais. Aborda questões éticas relacionadas ao crowd-sourcing para mitigar a exploração cultural e econômica de trabalhadores."
11,"Yuan et al., 2024","Yuan J., Bhattacharjee K., Islam A.Z., Dasgupta A. TRIVEA: Transparent Ranking Interpretation using Visual Explanation of black-box Algorith","Integra métodos de Inteligência Artificial Explicável (XAI) e análise visual para transformar algoritmos de ""caixa-preta"" em sistemas legíveis, permitindo que utilizadores raciocinem sobre sistemas de ranking.","Teoricamente, os rankings algorítmicos usam fórmulas globais simplistas que falham em capturar variações locais de dados. Na prática, ferramentas como o TRIVEA corrigem essa lacuna integrando IA Explicável (XAI), adaptando o modelo para tornar o comportamento algorítmico legível e suportar o raciocínio humano.","Lacuna na explicabilidade de rankings proprietários (""caixas-pretas""), evidenciando que as atuais métricas globais de precisão algorítmica falham em demonstrar discrepâncias ou vieses de dados em níveis locais para o usuário leigo.","A gestão apoiava-se em comparações analíticas manuais ou heurísticas opacas onde o sistema de IA decidia as classificações sem justificar os pesos aos utilizadores, contrastando com a necessidade atual de explicações algorítmicas transparentes.","Vital para a transparência da governação algorítmica, permitindo que o cidadão compreenda, audite e conteste os sistemas de inteligência artificial de tomada de decisão do Estado que exercem um impacto estrutural direto sobre a população.",,Validada através de: (i) discussões e estudos piloto com profissionais; (ii) múltiplos cenários de uso (dados universitários e fiscais); e (iii) feedback subjetivo de quatro investigadores seniores com doutorado.,Aplica metáforas visuais diretas (como texturas de alerta e tamanhos de pontos para indicar confiabilidade) para traduzir correlações estatísticas complexas e pesos algorítmicos em uma ordem de importância intuitiva para não especialistas.,"Fundamenta-se no framework de IA Explicável (XAI), utilizando especificamente os métodos LIME (Local Interpretable Model-agnostic Explanations) e ICE.","O trabalho foca no impacto social da opacidade algorítmica. Geograficamente, aplica seus modelos aos dados fiscais dos 50 estados dos EUA, abordando a transparência em um contexto de governança e cultura regional específico."
13,"Dowthwaite et al., 2024","Dowthwaite A., Cook D., Cox A.L. Privacy preferences in automotive data collection (2024) Transportation Research Interdisciplinary Perspect","Expande a IHD para a mobilidade urbana (carros conectados). Combate a extração passiva que forma um ""panóptico móvel"", exigindo Agência do Usuário e limites de propósito no setor automóvel.","A teoria de IHD exige Legibilidade e Negociabilidade constantes. Na prática da indústria automóvel, os veículos conectados operam como um ""panóptico móvel"" com contratos de ""tudo ou nada"", restringindo severamente a Agência do Usuário e ocultando o ciclo vital da telemetria recolhida.","Excesso de foco comercial e de segurança técnica na indústria automóvel, negligenciando estudos sobre como as preferências de privacidade dos condutores de veículos conectados mudam dinamicamente e afetam a sua Agência do Usuário.","O foco prévio no setor automóvel reduzia-se a soluções técnicas contra o hacking de veículos ou a sistemas de 'cálculo de privacidade' punitivos (como descontos em seguros condicionados a rastreamento cego), ignorando a legibilidade.","Indispensável para o desenvolvimento de cidades inteligentes sustentáveis, garantindo que a forte telemetria imposta pelas infraestruturas de carros e frotas conectadas ocorra com total respeito pela negociabilidade e Agência do Usuário.",,"Método qualitativo centrado no usuário, realizando entrevistas semiestruturadas com 15 condutores. Dados analisados através de uma análise temática reflexiva.","Utiliza aplicativos de celulares familiares como ""porteiros"" de interface (gatekeepers), traduzindo a telemetria complexa do veículo em painéis móveis sensíveis ao contexto (localização e tempo) que facilitam a gestão do consentimento e a Autonomia do Usuário.","O trabalho fundamenta-se inteiramente no framework de Interação Humano-Dados (IHD) de Mortier et al. (2014). Complementarmente, utiliza a teoria da Integridade Contextual de Nissenbaum.","Geograficamente, foca no Reino Unido. Socialmente, aborda a vulnerabilidade de pessoas sem acesso a transportes públicos (para quem o carro é uma necessidade). Menciona também preocupações socioculturais e de gênero relativas à segurança e rastreamento de localização."
16,"Victorelli & dos Reis, 2024","Victorelli E.Z., Dos Reis J.C. Adopting Human-data Interaction Guidelines and Participatory Practices for Supporting Inexperienced Designers",Democratiza o design de IHD ao mover-se de processos dependentes de especialistas seniores para a capacitação de designers inexperientes através de diretrizes semióticas estruturadas.,"Teoricamente, a IHD exige a aplicação complexa de princípios de legibilidade em dados dinâmicos, o que sobrecarrega designers inexperientes. Na prática, o uso de processos simplificados com diretrizes pré-selecionadas permite que novatos contornem essa abstração e desenvolvam protótipos com UX funcional.",Falta de métodos de Design Participativo que permitam a designers inexperientes modelar e expressar adequadamente os aspectos dinâmicos (transições de estado) da interação com dados complexos.,A exploração de dados complexos estava restrita a processos conduzidos exclusivamente por engenheiros e especialistas de domínio. As diretrizes de visualização eram implementadas tecnicamente sem ferramentas de design participativo para leigos.,"Aplica-se a domínios do senso comum urbano (como índices de qualidade de vida e segurança), suportando decisões migratórias e habitacionais complexas ao prover a tradução de indicadores socioeconômicos massivos para o leigo.",,Abordagem de métodos mistos: (i) workshops de co-design; (ii) inspeção por pares (peer inspection) baseada em diretrizes de IHD; (iii) avaliação de experiência do usuário (UX); e (iv) questionários de utilidade.,"Introduz a categorização de operações complexas de dados através de verbos de ação intuitivos (ex: Selecionar, Explorar, Filtrar), ancorando as tarefas técnicas no vocabulário comum do usuário.","Fundamenta-se no framework de IHD centrado no humano de Hornung et al. Integra também a Semiótica Organizacional (SID, EF e Semiotic Framework) e a taxonomia de interação de Yi et al.","Aplica o Socially Aware Design (SAD), garantindo que as crenças, aspectos culturais e as necessidades sociais das comunidades influenciem o design. Geograficamente, a pesquisa foi conduzida no Brasil."
17,"Durango et al., 2025","Durango I., R. Penichet V.M., Gallud J.A. Exploring human-data interaction: an AI-enhanced systematic mapping (2024) Universal Access in the",Democratiza as práticas de desenvolvimento ao capacitar estudantes e designers iniciantes na manipulação de grandes volumes de dados complexos através de metodologias participativas.,"A teoria pressupõe que a implementação de IHD exija alta competência técnica em representação de dados e IHC. Na prática, a adoção de metodologias participativas e frameworks estruturados democratiza o desenvolvimento, capacitando estudantes a aplicarem a Agência do Usuário de forma eficaz.","Lacuna na integração de diretrizes de IHD para designers iniciantes, criticando técnicas tradicionais de prototipagem que tratam o objeto de dados de forma estática, sem capturar a negociabilidade do sistema.","A qualidade da transparência nos projetos dependia inteiramente da intuição técnica e maturidade de designers experientes, já que métodos criativos de IHC (como o BrainDraw) ainda não contemplavam as transições de estado do dado.","Fundamental para a estruturação das chamadas ""cidades cognitivas"", garantindo que megavolumes de métricas de bem-estar, corrupção e PIB se tornem legíveis e acionáveis para o planeamento do residente comum.",,Avaliação em três frentes: (i) inspeção por pares dos protótipos (escala 0 a 5); (ii) avaliação da experiência do usuário (UX); e (iii) questionários online de utilidade.,"Estrutura a interação através de sete categorias focadas em verbos de ação direta (Selecionar, Filtrar, Ligar), utilizando o storyboarding de sites familiares para traduzir intenções não técnicas em comandos de dados.","O trabalho fundamenta-se na perspectiva de IHD centrada no humano de Hornung et al. Utiliza também o Socially Aware Design (SAD), integrando o Diagrama de Identificação de Stakeholders (SID).","O estudo adota uma abordagem socialmente consciente para considerar aspectos culturais, crenças e necessidades sociotécnicas no design da interface. A investigação foi integralmente conduzida no Brasil (Universidade Estadual de Campinas)."
19,"Coleti et al., 2024","Coleti T.A., Morandini M., Filgueiras L.V.L. Human-Data Interaction Syllabus for Undergraduate and Graduate Courses (2024) Journal on Intera",Desloca a interação tradicional mediada por interfaces clássicas para ecossistemas holísticos onde os humanos atuam ativamente como centro dos fluxos de fluxos de Ciência de Dados.,"Teoricamente, o foco do desenvolvimento em Ciência de Dados permanece em modelos estatísticos e matemáticos isolados. Na prática, a aplicação da IHD exige a inserção do elemento humano no ciclo de vida do dado, unindo privacidade e Literacia de Dados para que leigos compreendam fluxos complexos.","Ausência de estratégias consolidadas para o ensino de IHD no Brasil, resultando num currículo fragmentado onde os fatores humanos são tratados de forma marginal nas engenharias de Ciência de Dados.","Os tópicos de tratamento de dados operavam isoladamente: a Ciência de Dados focava-se no algoritmo (Big Data), enquanto os fatores humanos eram tratados como um subcampo marginal da IHC tradicional, desprovido de debates éticos sistémicos.","Transversal desde o ecossistema das casas inteligentes (Smart Homes) até aos sistemas integrados da metrópole, assegurando a transparência cívica e a integração ética em fluxos algorítmicos globais de gestão.",,"Avaliada através de: (i) palestras interativas com análise crítica de aplicações móveis por estudantes; e (ii) disciplina onde alunos desenvolveram requisitos, personas e protótipos.","Propõe o uso de Visualização de Dados Pessoais (Personal Infovis) com ícones específicos para comunicar privacidade de forma imagética, ancorando a interface em domínios comuns do dia a dia (saúde e entretenimento).","Fundamenta-se no framework de Mortier et al. (IHD com humanos no centro) e integra os princípios de Privacy by Design (PbD), Privacy UX e os princípios de Gestalt para a percepção visual de dados.",Conduzido no Brasil (nas universidades UENP e USP). Considera explicitamente as diferenças regulatórias entre a LGPD brasileira e o GDPR europeu como fatores sociopolíticos e culturais fundamentais no tratamento e letramento de dados.
