Artigo,Título do Artigo (conforme Lista de origem),a (-1),b (0),c (1),d (2),e (3),Total
1,"Capeleti B.S. HUMAN-DATA INTERACTION IN GEOPROCESSING APPLICATIONS: DESIGN RECOMMENDATIONS FROM INSPECTIONS, USER EVALUATIONS AND EXPERT EXP",,,,,X,3
3,Strey M.R. HUMAN-DATA IDEATION: UM FRAMEWORK CONCEITUAL PARA APOIAR O ENTENDIMENTO DE PROBLEMAS EM INTERAÇÃO HUMANO-DADOS (2019) Universidad,,,,,X,3
7,"Belizario M.G. Interação de cidadãos com plataformas de grafos de conhecimento: um estudo crítico sobre perfis, funcionalidades e recursos i",,,,,X,3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Critério 01,,0,,,,,
Critério 02,,0,,,,,
Critério 03,,3,,,,,
